"pmid";"value"
32925702;"Journal Article"
32930389;"Journal Article"
32930657;"Journal Article"
32908843;"Journal Article"
32917457;"Journal Article"
32905186;"Journal Article"
32928313;"Letter"
32926984;"Journal Article"
32932350;"Journal Article"
32905736;"Editorial"
32928824;"Journal Article"
32932348;"Journal Article"
32920578;"Journal Article"
32927142;"Letter"
32922804;"Case Reports"
32924795;"Journal Article"
32919222;"Journal Article"
32934391;"Journal Article"
32934000;"Journal Article"
32917604;"Review"
32909374;"Letter"
32917566;"Journal Article"
32904793;"Editorial"
32908530;"Journal Article"
32921870;"Journal Article"
32917378;"Journal Article"
32904435;"Journal Article"
32936044;"Journal Article"
32912745;"Journal Article"
32927477;"Journal Article"
32921955;"Journal Article"
32910933;"Journal Article"
32921279;"Journal Article"
32930797;"Journal Article"
32922162;"Journal Article"
32924951;"Journal Article"
32926669;"Journal Article"
32905833;"Journal Article"
32930456;"Journal Article"
32926656;"Journal Article"
32918938;"Journal Article"
32926272;"Journal Article"
32924565;"Journal Article"
32913297;"Journal Article"
32921293;"Journal Article"
32914775;"English Abstract"
32910322;"Journal Article"
32904987;"Journal Article"
32924391;"Journal Article"
32904735;"Case Reports"
32912707;"Journal Article"
32904317;"Journal Article"
32909661;"Journal Article"
32927289;"Letter"
32915876;"Journal Article"
32936122;"Letter"
32907635;"Clinical Trial Protocol"
32912703;"Letter"
32924000;"Journal Article"
32907596;"Journal Article"
32928913;"Journal Article"
32920504;"Journal Article"
32913008;"Journal Article"
32906197;"Journal Article"
32923671;"Journal Article"
32925662;"Journal Article"
32934901;"Journal Article"
32921708;"Journal Article"
32921701;"Journal Article"
32925833;"Journal Article"
32907823;"Editorial"
32934940;"Journal Article"
32922166;"English Abstract"
32904491;"Journal Article"
32921718;"Journal Article"
32931524;"Journal Article"
32931322;"Letter"
32929726;"Journal Article"
32903863;"Journal Article"
32936019;"Journal Article"
32911779;"Journal Article"
32915253;"Journal Article"
32910274;"Journal Article"
32924178;"Journal Article"
32904959;"Journal Article"
32931227;"Letter"
32934054;"Letter"
32910694;"Journal Article"
32917303;"Journal Article"
32918548;"Journal Article"
32923084;"Journal Article"
32929786;"Journal Article"
32903950;"Case Reports"
32925078;"Journal Article"
32918053;"News"
32936770;"Journal Article"
32909535;"Journal Article"
32909234;"Journal Article"
32904541;"Journal Article"
32921328;"Journal Article"
32910318;"Journal Article"
32916297;"Journal Article"
32929416;"Journal Article"
32923355;"Journal Article"
32904942;"Journal Article"
32910735;"Journal Article"
32905318;"Journal Article"
32904342;"Journal Article"
32922761;"Editorial"
32921903;"Journal Article"
32918954;"Letter"
32921846;"Journal Article"
32912511;"Case Reports"
32924061;"Journal Article"
32921742;"Journal Article"
32933915;"Journal Article"
32912396;"Journal Article"
32922324;"Journal Article"
32917291;"Letter"
32929138;"Journal Article"
32934392;"Journal Article"
32904977;"Journal Article"
32919952;"Letter"
32910908;"Journal Article"
32914200;"Journal Article"
32933807;"Case Reports"
32910210;"Journal Article"
32936118;"Letter"
32925108;"Journal Article"
32920868;"Journal Article"
32932800;"Journal Article"
32925299;"Journal Article"
32930476;"Letter"
32921531;"Practice Guideline"
32930820;"Journal Article"
32906788;"Journal Article"
32927136;"Editorial"
32905165;"Journal Article"
32915343;"Journal Article"
32926677;"Journal Article"
32920322;"Letter"
32926868;"Journal Article"
32906733;"Journal Article"
32910920;"Journal Article"
32925598;"Journal Article"
32905049;"Case Reports"
32934172;"Journal Article"
32904589;"News"
32934862;"Journal Article"
32919439;"Retraction of Publication"
32933166;"Journal Article"
32917441;"Journal Article"
32920890;"Journal Article"
32918755;"Journal Article"
32936380;"Journal Article"
32925848;"Journal Article"
32924229;"Journal Article"
32906146;"Journal Article"
32935417;"Journal Article"
32926958;"Journal Article"
32932831;"Journal Article"
32926753;"Journal Article"
32921881;"Editorial"
32926572;"Journal Article"
32914674;"Journal Article"
32920544;"Journal Article"
32931985;"Journal Article"
32917432;"Editorial"
32921445;"Journal Article"
32905098;"Journal Article"
32918640;"Journal Article"
32923992;"Journal Article"
32927051;"Editorial"
32920239;"Journal Article"
32905581;"Journal Article"
32930099;"Journal Article"
32904824;"Journal Article"
32931563;"Journal Article"
32914236;"Journal Article"
32926871;"Journal Article"
32904771;"Editorial"
32929417;"Journal Article"
32907623;"Journal Article"
32910974;"Journal Article"
32907581;"Journal Article"
32923677;"Journal Article"
32920757;"Journal Article"
32912357;"Journal Article"
32929316;"Journal Article"
32933836;"Journal Article"
32904494;"Journal Article"
32922049;"Journal Article"
32922220;"Journal Article"
32907759;"Journal Article"
32928086;"Journal Article"
32935613;"Journal Article"
32925581;"Journal Article"
32913057;"Journal Article"
32933588;"Letter"
32921216;"Journal Article"
32912856;"Journal Article"
32913561;"Journal Article"
32908185;"Editorial"
32921732;"Journal Article"
32904465;"Journal Article"
32904429;"Journal Article"
32916157;"Journal Article"
32919923;"Journal Article"
32932326;"Journal Article"
32928037;"Journal Article"
32913005;"Journal Article"
32934055;"Letter"
32904951;"Journal Article"
32930633;"Journal Article"
32917099;"Journal Article"
32920585;"Journal Article"
32932152;"Journal Article"
32922101;"Journal Article"
32921289;"Journal Article"
32907872;"Journal Article"
32926664;"Journal Article"
32936467;"Journal Article"
32926349;"Journal Article"
32921678;"Journal Article"
32936428;"Journal Article"
32937682;"Editorial"
32921751;"Journal Article"
32920234;"Journal Article"
32931069;"Journal Article"
32915815;"Journal Article"
32905568;"Journal Article"
32928914;"Journal Article"
32919947;"Letter"
32936071;"Journal Article"
32931544;"Journal Article"
32921706;"Journal Article"
32922463;"Journal Article"
32927735;"Journal Article"
32921515;"Journal Article"
32930916;"Journal Article"
32935071;"Journal Article"
32909299;"Journal Article"
32907858;"Journal Article"
32931728;"Journal Article"
32911500;"Journal Article"
32929323;"Editorial"
32920936;"Letter"
32920475;"Journal Article"
32918594;"Journal Article"
32920415;"Journal Article"
32928122;"Journal Article"
32926083;"Journal Article"
32908674;"Journal Article"
32904474;"Journal Article"
32905058;"Editorial"
32930434;"Journal Article"
32904948;"Journal Article"
32937615;"Journal Article"
32905393;"Journal Article"
32932333;"Journal Article"
32904594;"Journal Article"
32922408;"Journal Article"
32917259;"Clinical Trial Protocol"
32909049;"English Abstract"
32910209;"Letter"
32920079;"Journal Article"
32910978;"Letter"
32921249;"Journal Article"
32904939;"Journal Article"
32926425;"Journal Article"
32924328;"Journal Article"
32919216;"Journal Article"
32916441;"Letter"
32929826;"Journal Article"
32916755;"Journal Article"
32904823;"Journal Article"
32936804;"Journal Article"
32924962;"Journal Article"
32910671;"English Abstract"
32926172;"Journal Article"
32926250;"Journal Article"
32913304;"Journal Article"
32931378;"Journal Article"
32904786;"Journal Article"
32928812;"Journal Article"
32925396;"Journal Article"
32921796;"Journal Article"
32910820;"Journal Article"
32924854;"Journal Article"
32907762;"Journal Article"
32923356;"Journal Article"
32928605;"Letter"
32931727;"English Abstract"
32904401;"Journal Article"
32907644;"Journal Article"
32905739;"Editorial"
32919520;"Editorial"
32904972;"Journal Article"
32908126;"Journal Article"
32924089;"Journal Article"
32928663;"Letter"
32922690;"Journal Article"
32917115;"Letter"
32905794;"Journal Article"
32933839;"Journal Article"
32933212;"Journal Article"
32914690;"Journal Article"
32934757;"Journal Article"
32924091;"Journal Article"
32909024;"Journal Article"
32916246;"Journal Article"
32933835;"Journal Article"
32932930;"Journal Article"
32904117;"Journal Article"
32919762;"Journal Article"
32930438;"Letter"
32933191;"Journal Article"
32918606;"Journal Article"
32919872;"Journal Article"
32904826;"Journal Article"
32929402;"Journal Article"
32932848;"Journal Article"
32908697;"Journal Article"
32923996;"Journal Article"
32912395;"Journal Article"
32930713;"Journal Article"
32904943;"Case Reports"
32914583;"Journal Article"
32928770;"Journal Article"
32912359;"Journal Article"
32930632;"Journal Article"
32931162;"Journal Article"
32904990;"Journal Article"
32924884;"Journal Article"
32910253;"Letter"
32926340;"Journal Article"
32924140;"Letter"
32908842;"Journal Article"
32927413;"Editorial"
32929292;"Editorial"
32925492;"Journal Article"
32926255;"Journal Article"
32928835;"Journal Article"
32910604;"Journal Article"
32922857;"Case Reports"
32917603;"Journal Article"
32934461;"Journal Article"
32934147;"Journal Article"
32915649;"Journal Article"
32907890;"Journal Article"
32905022;"Journal Article"
32923995;"Journal Article"
32912670;"Letter"
32921824;"Journal Article"
32930793;"Journal Article"
32925751;"Journal Article"
32925107;"Journal Article"
32912793;"Journal Article"
32921332;"Journal Article"
32931107;"Journal Article"
32925698;"Journal Article"
32929314;"Journal Article"
32907687;"Journal Article"
32925136;"Journal Article"
32925476;"Journal Article"
32923199;"Journal Article"
32908574;"Journal Article"
32909174;"Journal Article"
32904586;"Journal Article"
32913002;"Journal Article"
32933965;"Journal Article"
32935157;"Journal Article"
32921970;"Journal Article"
32909322;"Journal Article"
32921952;"Journal Article"
32923304;"Journal Article"
32904469;"Journal Article"
32934647;"Journal Article"
32909925;"Journal Article"
32920348;"Letter"
32923299;"Journal Article"
32931359;"Journal Article"
32907684;"Journal Article"
32936732;"Journal Article"
32914471;"Editorial"
32904993;"Journal Article"
32927483;"Journal Article"
32931326;"Editorial"
32918881;"Journal Article"
32926712;"Journal Article"
32921284;"Journal Article"
32914776;"English Abstract"
32931707;"Journal Article"
32920347;"Letter"
32937264;"Letter"
32917426;"Letter"
32921326;"Journal Article"
32904487;"Journal Article"
32911080;"Journal Article"
32910203;"Letter"
32920815;"Journal Article"
32918506;"Letter"
32926807;"Journal Article"
32928674;"Letter"
32917614;"Journal Article"
32912564;"Journal Article"
32927376;"Journal Article"
32903810;"Journal Article"
32924219;"Journal Article"
32908713;"Case Reports"
32904575;"Journal Article"
32919413;"Journal Article"
32917096;"Letter"
32936267;"Journal Article"
32921830;"Journal Article"
32922243;"Published Erratum"
32927475;"Journal Article"
32905208;"Editorial"
32926809;"Journal Article"
32910697;"Journal Article"
32934130;"Journal Article"
32903968;"Journal Article"
32931703;"Journal Article"
32931666;"Journal Article"
32910466;"Letter"
32930937;"Letter"
32915477;"Journal Article"
32905170;"Journal Article"
32928412;"Journal Article"
32933522;"Journal Article"
32904889;"Journal Article"
32936826;"Journal Article"
32921861;"Journal Article"
32931598;"Journal Article"
32937679;"Journal Article"
32929818;"Journal Article"
32922024;"Journal Article"
32921745;"Journal Article"
32930458;"Journal Article"
32910838;"Journal Article"
32916148;"Journal Article"
32932347;"Journal Article"
32919586;"Journal Article"
32918792;"Journal Article"
32904892;"Journal Article"
32907677;"Journal Article"
32918236;"Journal Article"
32920511;"Journal Article"
32904431;"Journal Article"
32921731;"Journal Article"
32923230;"Case Reports"
32927009;"Journal Article"
32932549;"Case Reports"
32934652;"Journal Article"
32936372;"Journal Article"
32912961;"Journal Article"
32905019;"English Abstract"
32910943;"Journal Article"
32908072;"Journal Article"
32913283;"Journal Article"
32904563;"Journal Article"
32916972;"Journal Article"
32918894;"Letter"
32913357;"Journal Article"
32936281;"Journal Article"
32912965;"Journal Article"
32921857;"Journal Article"
32910179;"Journal Article"
32912345;"Journal Article"
32911234;"Journal Article"
32934942;"Editorial"
32922241;"Journal Article"
32919800;"Letter"
32907495;"Journal Article"
32907661;"Journal Article"
32922727;"Editorial"
32914945;"Journal Article"
32917114;"Journal Article"
32904838;"Journal Article"
32924838;"Journal Article"
32912524;"Journal Article"
32910704;"Journal Article"
32930326;"Journal Article"
32913847;"Journal Article"
32924057;"Journal Article"
32928180;"Journal Article"
32935664;"English Abstract"
32917282;"Journal Article"
32917427;"Letter"
32915873;"Journal Article"
32904593;"Journal Article"
32919062;"Journal Article"
32904935;"Journal Article"
32904911;"Journal Article"
32928535;"English Abstract"
32917717;"Journal Article"
32916211;"Letter"
32925241;"Journal Article"
32909834;"Journal Article"
32914677;"Journal Article"
32922297;"Journal Article"
32904437;"Journal Article"
32921917;"Journal Article"
32932334;"Journal Article"
32921588;"Letter"
32912646;"Journal Article"
32917356;"Journal Article"
32908672;"Journal Article"
32923657;"Journal Article"
32905275;"Journal Article"
32927356;"Journal Article"
32923676;"Journal Article"
32926596;"Journal Article"
32926918;"Journal Article"
32926424;"Journal Article"
32921873;"Case Reports"
32905808;"Letter"
32929454;"Journal Article"
32929411;"Journal Article"
32927056;"Journal Article"
32926931;"Journal Article"
32912595;"Letter"
32905791;"Journal Article"
32918429;"Journal Article"
32928561;"Journal Article"
32926870;"Journal Article"
32912573;"Journal Article"
32904428;"Journal Article"
32933837;"Journal Article"
32936069;"Editorial"
32904057;"Journal Article"
32912574;"Published Erratum"
32925824;"Journal Article"
32920584;"Journal Article"
32909273;"Letter"
32929975;"Journal Article"
32917258;"Letter"
32905072;"Journal Article"
32916352;"Journal Article"
32903780;"Journal Article"
32917290;"Journal Article"
32920644;"Journal Article"
32935309;"Letter"
32916611;"Journal Article"
32920569;"Journal Article"
32923351;"Journal Article"
32931775;"Letter"
32921710;"Journal Article"
32929321;"Journal Article"
32904651;"Journal Article"
32930767;"Journal Article"
32936462;"Journal Article"
32927129;"Journal Article"
32915072;"Journal Article"
32933816;"Journal Article"
32911956;"Journal Article"
32916744;"Case Reports"
32903644;"Journal Article"
32915717;"Letter"
32934769;"Journal Article"
32913365;"Journal Article"
32915764;"Journal Article"
32922409;"Journal Article"
32921721;"Journal Article"
32921037;"Journal Article"
32908257;"Journal Article"
32921594;"Letter"
32926977;"Journal Article"
32936443;"Journal Article"
32931637;"Journal Article"
32922203;"Journal Article"
32912668;"Journal Article"
32921729;"Journal Article"
32909528;"Journal Article"
32921720;"Journal Article"
32907358;"Journal Article"
32932582;"Journal Article"
32909495;"Journal Article"
32907693;"Journal Article"
32930715;"Journal Article"
32920103;"Journal Article"
32918645;"Journal Article"
32905265;"Journal Article"
32910363;"Journal Article"
32905446;"Journal Article"
32929403;"Journal Article"
32904785;"Journal Article"
32928903;"Journal Article"
32911039;"Journal Article"
32916691;"Journal Article"
32919217;"Journal Article"
32927589;"Journal Article"
32918656;"Journal Article"
32924956;"Journal Article"
32921923;"Journal Article"
32904811;"Journal Article"
32930523;"Journal Article"
32914056;"Editorial"
32914744;"Journal Article"
32912370;"Journal Article"
32929241;"Journal Article"
32925154;"Journal Article"
32921865;"Journal Article"
32914831;"Journal Article"
32922688;"Editorial"
32932346;"Journal Article"
32917843;"Journal Article"
32934319;"Journal Article"
32904461;"Case Reports"
32935447;"Letter"
32914217;"Journal Article"
32928308;"Journal Article"
32915701;"Journal Article"
32912748;"Journal Article"
32921343;"Journal Article"
32935814;"Journal Article"
32928323;"Journal Article"
32908675;"Journal Article"
32912867;"Letter"
32923679;"Journal Article"
32908465;"Journal Article"
32935872;"Journal Article"
32927400;"Letter"
32936429;"Journal Article"
32922212;"Case Reports"
32905597;"Journal Article"
32936553;"Journal Article"
32923422;"Journal Article"
32931517;"Journal Article"
32921703;"Journal Article"
32934437;"Journal Article"
32920017;"Letter"
32905331;"Journal Article"
32934972;"Journal Article"
32928837;"Journal Article"
32926680;"Journal Article"
32920373;"Journal Article"
32920095;"Journal Article"
32907584;"Journal Article"
32927416;"Journal Article"
32936832;"Journal Article"
32913034;"Journal Article"
32934662;"Journal Article"
32905786;"Journal Article"
32929387;"Journal Article"
32912875;"Journal Article"
32934802;"Journal Article"
32908070;"Journal Article"
32912734;"Journal Article"
32907701;"Journal Article"
32920037;"Journal Article"
32913116;"Journal Article"
32931348;"Journal Article"
32904882;"Journal Article"
32917460;"Journal Article"
32913038;"Journal Article"
32904715;"Journal Article"
32931792;"Journal Article"
32922562;"Journal Article"
32905078;"Journal Article"
32904395;"Journal Article"
32929507;"Journal Article"
32905100;"Journal Article"
32923968;"Editorial"
32933921;"Letter"
32935787;"Journal Article"
32934353;"Editorial"
32929761;"Letter"
32935425;"Journal Article"
32906190;"Editorial"
32904548;"Journal Article"
32907437;"Journal Article"
32912894;"Journal Article"
32927793;"Journal Article"
32914749;"Journal Article"
32908256;"Journal Article"
32916377;"Journal Article"
32914892;"Journal Article"
32931554;"Journal Article"
32929665;"Journal Article"
32908705;"Journal Article"
32933414;"Journal Article"
32931136;"Letter"
32904693;"Journal Article"
32925315;"Journal Article"
32921942;"Journal Article"
32924948;"Journal Article"
32923943;"Journal Article"
32928743;"Journal Article"
32912829;"Journal Article"
32930390;"Journal Article"
32910001;"Journal Article"
32932338;"Letter"
32933774;"Case Reports"
32931482;"Journal Article"
32919321;"Journal Article"
32923151;"Journal Article"
32907286;"Journal Article"
32926482;"Journal Article"
32919153;"Letter"
32931634;"Journal Article"
32933594;"Journal Article"
32921292;"Journal Article"
32926439;"Journal Article"
32905011;"Journal Article"
32911000;"Journal Article"
32916743;"Journal Article"
32914768;"Journal Article"
32919186;"Journal Article"
32909361;"Journal Article"
32934352;"Journal Article"
32925489;"Journal Article"
32919838;"Journal Article"
32904908;"Journal Article"
32931914;"Journal Article"
32928149;"Journal Article"
32914175;"Journal Article"
32912768;"Journal Article"
32931980;"Journal Article"
32936491;"Journal Article"
32934906;"Case Reports"
32912716;"Case Reports"
32931823;"Case Reports"
32909983;"Journal Article"
32905045;"Journal Article"
32934062;"Letter"
32905296;"Journal Article"
32912358;"Journal Article"
32930394;"Journal Article"
32937650;"Letter"
32921871;"Journal Article"
32905217;"Journal Article"
32905698;"Journal Article"
32918932;"Journal Article"
32935498;"Journal Article"
32918074;"Journal Article"
32919788;"Journal Article"
32921847;"Journal Article"
32903802;"Journal Article"
32903841;"Systematic Review"
32936275;"Journal Article"
32920570;"Journal Article"
32926676;"Journal Article"
32909621;"Letter"
32913590;"Journal Article"
32907789;"Letter"
32907851;"Journal Article"
32909838;"Journal Article"
32905053;"Journal Article"
32925314;"Journal Article"
32912849;"Journal Article"
32905551;"Journal Article"
32923333;"Journal Article"
32934821;"Journal Article"
32936400;"Journal Article"
32908671;"Journal Article"
32936776;"Journal Article"
32918447;"Journal Article"
32909546;"Journal Article"
32929182;"Letter"
32915424;"Journal Article"
32905026;"Journal Article"
32917648;"Letter"
32904899;"Journal Article"
32937279;"Journal Article"
32926713;"Journal Article"
32915818;"Journal Article"
32904988;"Journal Article"
32921722;"Journal Article"
32932571;"English Abstract"
32926815;"Journal Article"
32911518;"Journal Article"
32912958;"Journal Article"
32932356;"Journal Article"
32912711;"Journal Article"
32912108;"Letter"
32910843;"Journal Article"
32921728;"Journal Article"
32927412;"Journal Article"
32927871;"Journal Article"
32923014;"Journal Article"
32918880;"Journal Article"
32910826;"Journal Article"
32912557;"Case Reports"
32919427;"Letter"
32923288;"Case Reports"
32914145;"News"
32907891;"Journal Article"
32926122;"Journal Article"
32925002;"Letter"
32909400;"Journal Article"
32933833;"Journal Article"
32923248;"Journal Article"
32904407;"Journal Article"
32914769;"Journal Article"
32929399;"Journal Article"
32914751;"Journal Article"
32907528;"Journal Article"
32911430;"Journal Article"
32904918;"Journal Article"
32921714;"Journal Article"
32913691;"Journal Article"
32921198;"Journal Article"
32926573;"Journal Article"
32929320;"Journal Article"
32904710;"Journal Article"
32935084;"Journal Article"
32930714;"Journal Article"
32909540;"Journal Article"
32910690;"Journal Article"
32919880;"Journal Article"
32924946;"Journal Article"
32918761;"Journal Article"
32932153;"Journal Article"
32923450;"Case Reports"
32927290;"Letter"
32912019;"Letter"
32932327;"Journal Article"
32915404;"Journal Article"
32929469;"Journal Article"
32918060;"Journal Article"
32931998;"Letter"
32921820;"English Abstract"
32936438;"Letter"
32935807;"Comparative Study"
32908494;"Journal Article"
32904528;"Journal Article"
32933891;"Journal Article"
32936916;"Journal Article"
32936695;"Journal Article"
32916074;"Journal Article"
32921725;"Journal Article"
32921969;"Journal Article"
32923256;"Case Reports"
32916641;"Letter"
32933931;"Letter"
32923550;"Journal Article"
32926671;"Journal Article"
32935873;"Journal Article"
32922783;"Journal Article"
32918295;"Journal Article"
32926683;"Journal Article"
32923004;"Journal Article"
32904923;"Journal Article"
32929539;"Journal Article"
32924947;"Journal Article"
32907672;"Journal Article"
32921876;"Journal Article"
32907668;"Journal Article"
32910919;"Journal Article"
32925151;"Journal Article"
32927282;"Journal Article"
32933945;"Editorial"
32919067;"Journal Article"
32913137;"Journal Article"
32922217;"Journal Article"
32917729;"Journal Article"
32931118;"Letter"
32929806;"Journal Article"
32912356;"Journal Article"
32935849;"Journal Article"
32921862;"Journal Article"
32921924;"English Abstract"
32904433;"Journal Article"
32910154;"Journal Article"
32920210;"Journal Article"
32904130;"Journal Article"
32937062;"Letter"
32933415;"Journal Article"
32905655;"Journal Article"
32921408;"Published Erratum"
32931782;"Journal Article"
32913092;"Journal Article"
32928236;"Journal Article"
32929819;"Letter"
32921195;"Journal Article"
32928250;"Journal Article"
32913581;"Journal Article"
32915505;"Journal Article"
32904656;"Editorial"
32905851;"Journal Article"
32915822;"Journal Article"
32904794;"Journal Article"
32920657;"Letter"
32929415;"Journal Article"
32913690;"Journal Article"
32921023;"Letter"
32930089;"Journal Article"
32905308;"News"
32924964;"Journal Article"
32917635;"Journal Article"
32934419;"Journal Article"
32917294;"Journal Article"
32931361;"Journal Article"
32912996;"Journal Article"
32930834;"Journal Article"
32919836;"Journal Article"
32910106;"Journal Article"
32917584;"Journal Article"
32921705;"Journal Article"
32910670;"English Abstract"
32909973;"Journal Article"
32905015;"Journal Article"
32928234;"Journal Article"
32913338;"News"
32937442;"Editorial"
32921934;"Journal Article"
32920964;"Journal Article"
32923691;"Journal Article"
32904452;"Journal Article"
32929000;"Journal Article"
32934678;"Journal Article"
32920970;"Letter"
32930583;"Journal Article"
32906596;"Journal Article"
32935331;"Journal Article"
32924707;"Journal Article"
32911671;"Journal Article"
32934372;"Journal Article"
32926211;"Journal Article"
32917283;"Journal Article"
32910493;"Journal Article"
32927357;"Journal Article"
32928322;"Journal Article"
32923694;"Journal Article"
32931713;"Journal Article"
32907278;"Introductory Journal Article"
32914319;"Journal Article"
32923696;"Case Reports"
32911432;"Journal Article"
32917368;"Journal Article"
32928626;"Letter"
32913853;"Journal Article"
32924651;"Journal Article"
32928802;"Journal Article"
32928767;"Journal Article"
32920431;"Letter"
32924134;"Journal Article"
32907790;"Journal Article"
32908261;"Journal Article"
32925756;"Journal Article"
32921517;"Journal Article"
32922406;"Journal Article"
32908332;"Editorial"
32933902;"Journal Article"
32911311;"Case Reports"
32912363;"Journal Article"
32926254;"Journal Article"
32912559;"Case Reports"
32917841;"Journal Article"
32918055;"News"
32933019;"Journal Article"
32912049;"Journal Article"
32929995;"Journal Article"
32918747;"Journal Article"
32918409;"Journal Article"
32903584;"Journal Article"
32924058;"Journal Article"
32930030;"Journal Article"
32907857;"Journal Article"
32915271;"Journal Article"
32916836;"Comparative Study"
32936121;"Letter"
32907913;"Letter"
32931709;"Journal Article"
32927307;"Letter"
32923579;"Journal Article"
32931811;"Journal Article"
32909889;"Journal Article"
32916926;"Journal Article"
32931758;"Journal Article"
32931105;"Journal Article"
32913640;"Case Reports"
32934663;"Editorial"
32933924;"Journal Article"
32936120;"Letter"
32912808;"Journal Article"
32924150;"Letter"
32911957;"Journal Article"
32909031;"Journal Article"
32920066;"Letter"
32911560;"Journal Article"
32935831;"Journal Article"
32936348;"English Abstract"
32927479;"Journal Article"
32931623;"Journal Article"
32920503;"Journal Article"
32910031;"Editorial"
32934351;"News"
32907861;"Journal Article"
32916095;"Journal Article"
32923311;"Journal Article"
32929400;"Journal Article"
32930887;"Journal Article"
32920811;"Journal Article"
32927229;"Journal Article"
32905500;"Journal Article"
32912930;"Editorial"
32929994;"Journal Article"
32930069;"Journal Article"
32926173;"Editorial"
32904856;"Journal Article"
32922851;"Case Reports"
32923673;"Journal Article"
32917884;"Journal Article"
32916311;"Journal Article"
32918145;"Letter"
32908681;"Journal Article"
32936254;"Journal Article"
32927419;"Journal Article"
32929211;"Journal Article"
32921197;"Journal Article"
32909272;"Letter"
32929268;"Journal Article"
32917745;"Journal Article"
32910483;"Letter"
32935793;"Journal Article"
32907694;"Journal Article"
32907676;"Journal Article"
32904125;"Journal Article"
32919072;"Journal Article"
32922526;"English Abstract"
32924925;"Journal Article"
32905083;"Journal Article"
32923003;"Case Reports"
32935535;"English Abstract"
32909852;"Journal Article"
32921937;"Journal Article"
32904682;"Journal Article"
32908841;"Journal Article"
32927292;"Letter"
32909373;"Journal Article"
32934920;"Journal Article"
32935061;"Journal Article"
32908083;"Journal Article"
